127.0.0.1 - - [23/May/2022:01:25:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:36 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:38 +0700] "GET /LdStore/tin-tuc/4 HTTP/1.1" 200 78069
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:38 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:39 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:39 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:41 +0700] "GET /LdStore/tin-tuc/6 HTTP/1.1" 200 76456
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:41 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:41 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:41 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:45 +0700] "GET /LdStore/ HTTP/1.1" 200 283092
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:45 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:45 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:45 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:46 +0700] "GET /LdStore/tin-tuc/5 HTTP/1.1" 200 78837
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:46 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:46 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:46 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:51 +0700] "GET /LdStore/tin-tuc/5 HTTP/1.1" 200 78837
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:51 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:51 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:26:51 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:18 +0700] "GET /LdStore/ HTTP/1.1" 200 283255
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:18 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:18 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:18 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:20 +0700] "GET /LdStore/tin-tuc/6 HTTP/1.1" 200 76456
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:20 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:20 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:20 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:23 +0700] "GET /LdStore/tin-tuc/4 HTTP/1.1" 200 78069
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:23 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:24 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:24 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:32 +0700] "GET /LdStore/thong-tin-tai-khoan HTTP/1.1" 200 76977
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:32 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:32 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:32 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:33 +0700] "GET /LdStore/doi-mat-khau HTTP/1.1" 200 78342
